household_key,recency_days,frequency,monetary,R,F,M,RFM_Score,segment,INCOME_DESC,HOUSEHOLD_SIZE_DESC,AGE_DESC,MARITAL_STATUS_CODE,HH_COMP_DESC,KID_CATEGORY_DESC
1,6,86,4330.16,3,3,4,10,At Risk,35-49K,2,65+,A,2 Adults No Kids,None/Unknown
2,44,45,1954.34,1,2,3,6,Lost,,,,,,
3,9,47,2653.21,3,2,3,8,At Risk,,,,,,
4,85,30,1200.1100000000001,1,1,2,4,Lost,,,,,,
5,9,40,779.0600000000001,3,2,2,7,At Risk,,,,,,
6,5,250,5996.16,4,5,5,14,Champions,,,,,,
7,3,59,3400.05,4,2,4,10,Potential Loyalists,50-74K,2,45-54,A,2 Adults No Kids,None/Unknown
8,6,113,5534.97,3,4,5,12,Loyal,25-34K,3,25-34,U,2 Adults Kids,1
9,23,20,797.42,2,1,2,5,One-time Buyers,,,,,,
10,27,9,234.34,2,1,1,4,One-time Buyers,,,,,,
11,300,5,33.39,1,1,1,3,Lost,,,,,,
12,208,7,266.21,1,1,1,3,Lost,,,,,,
13,3,275,13190.92,4,5,5,14,Champions,75-99K,4,25-34,U,2 Adults Kids,2
14,8,140,2761.19,3,4,3,10,Loyal,,,,,,
15,7,55,972.53,3,2,2,7,At Risk,,,,,,
16,22,98,1512.02,2,3,2,7,At Risk,50-74K,1,45-54,B,Single Female,None/Unknown
17,23,124,5139.63,2,4,5,11,At Risk,Under 15K,2,65+,B,2 Adults No Kids,None/Unknown
18,1,163,7118.91,5,4,5,14,Champions,100-124K,2,45-54,A,2 Adults No Kids,None/Unknown
19,1,421,11299.61,5,5,5,15,Champions,15-24K,1,35-44,B,Single Female,None/Unknown
20,1,387,7486.11,5,5,5,15,Champions,75-99K,2,25-34,A,2 Adults No Kids,None/Unknown
21,30,27,870.11,1,1,2,4,Lost,,,,,,
22,1,136,6256.04,5,4,5,14,Champions,75-99K,2,45-54,A,2 Adults No Kids,None/Unknown
23,1,110,3158.58,5,4,4,13,Champions,,,,,,
24,3,74,1911.11,4,3,3,10,Potential Loyalists,,,,,,
25,7,94,3149.65,3,3,4,10,At Risk,50-74K,1,35-44,U,Unknown,None/Unknown
26,7,113,1937.39,3,4,3,10,Loyal,,,,,,
27,1,405,5736.24,5,5,5,15,Champions,25-34K,1,45-54,U,Single Female,None/Unknown
28,10,125,2119.62,3,4,3,10,Loyal,,,,,,
29,3,69,1343.03,4,3,2,9,Potential Loyalists,,,,,,
30,1,28,622.8,5,1,1,7,New Customers,,,,,,
31,2,69,4396.9,5,3,4,12,Potential Loyalists,35-49K,2,35-44,B,2 Adults No Kids,None/Unknown
32,1,116,3381.82,5,4,4,13,Champions,,,,,,
33,1,52,1200.74,5,2,2,9,Potential Loyalists,,,,,,
34,3,36,407.38,4,2,1,7,Potential Loyalists,,,,,,
35,5,60,1119.51,4,3,2,9,Potential Loyalists,,,,,,
36,4,221,4898.25,4,5,4,13,Champions,,,,,,
37,2,63,2976.66,5,3,4,12,Potential Loyalists,,,,,,
38,161,27,706.13,1,1,1,3,Lost,,,,,,
39,27,64,5033.66,2,3,4,9,At Risk,125-149K,2,35-44,A,2 Adults No Kids,None/Unknown
40,2,400,12907.89,5,5,5,15,Champions,Under 15K,2,45-54,U,2 Adults No Kids,None/Unknown
41,5,73,3107.13,4,3,4,11,Potential Loyalists,,,,,,
42,2,89,1985.8600000000001,5,3,3,11,Potential Loyalists,50-74K,1,65+,U,Single Male,None/Unknown
43,2,106,884.84,5,4,2,11,Loyal,15-24K,5+,35-44,B,2 Adults Kids,3+
44,84,32,877.76,1,1,2,4,Lost,,,,,,
45,125,57,807.09,1,2,2,5,Lost,,,,,,
